#{"t_start": 1622874995.046234, "env_id": "AntEnv-v8"}
r,l,t,reward,reward_motion,reward_torque,reward_velocity,reward_contact
-8.810499,20,4.246931,-0.09287300371162382,1.0,-0.4297525610598167,-0.4635155046281114,-0.19960493802369567
-11.698363,20,5.54397,-0.7608079886642021,0.0,-0.016370577941550522,-0.29979869841720946,-0.44463871230544216
-13.699263,20,6.850959,-0.4432078722130065,1.0,-0.2728302135468343,-0.71630519217799,-0.4540724664881821
-4.748635,20,8.157252,-0.8639681805103858,0.0,-0.04243318526998387,-0.3514939932221769,-0.4700410020182251
-5.156168,20,9.434378,-0.5251202690160084,1.0,-0.4178078806292395,-0.7215094439069263,-0.38580294447984254
-10.248284,20,10.738719,-1.173394977232582,0.0,-0.4532045710483278,-0.30953273550301413,-0.4106576706812401
-18.768857,20,12.020579,-0.38981744468594004,1.0,-0.19778963770324082,-0.7457035009287112,-0.446324306053988
-12.553276,20,13.295092,-0.7230996352217659,1.0,-0.4061383033628658,-0.5969613318589001,-0.72
-8.229877,20,14.560145,-0.11048469129142202,1.0,-0.49281069087435636,-0.6176740004170657,-0.0
-13.605028,20,15.82444,-0.5391330664360999,1.0,-0.27838467735330197,-0.8118266704009309,-0.44892171868186703
-0.186468,20,17.12522,0.2534637557382977,1.0,-0.3517669867436782,-0.17768038549699489,-0.21708887202102925
-10.257506,20,18.421151,0.0069319159647257544,1.0,-0.17688355677230916,-0.36429115334734863,-0.45189337391561646
-13.152042,20,19.713095,-0.45883213553798274,1.0,-0.23837920501500406,-0.7679188042201629,-0.45253412630281575
-13.322031,20,20.996539,-0.4988975685458653,1.0,-0.1865058718173117,-0.9310105976630151,-0.3813810990655385
-5.710799,20,22.279761,-0.2594679999489211,1.0,-0.15377037791753428,-0.5118811041933217,-0.5938165178380651
-5.139943,20,23.555242,-0.7040196331259264,0.0,-0.03429294748520713,-0.1223363582596985,-0.5473903273810208
-21.696641,20,24.803344,-1.140640303802517,0.0,-0.10704830154508596,-0.9607549201768062,-0.07283708208062485
-16.242291,20,26.099544,-1.2350329678950223,0.0,-0.009397639743480589,-0.6012014505902621,-0.6244338775612795
-13.931803,20,27.420545,-0.09213599802085959,1.0,-0.2393001536087474,-0.4162758765129439,-0.43655996789916834
-25.581229,20,28.720665,-1.4082680725138492,0.0,-0.014099913178826239,-0.7750470991701448,-0.6191210601648783
-8.230399,20,30.018751,-0.2828074607456698,1.0,-0.21524753039920327,-0.662642077968086,-0.40491785237838046
