#{"t_start": 1622892598.2142184, "env_id": "AntEnv-v8"}
r,l,t,reward,reward_position,reward_motion,reward_torque,reward_velocity,reward_contact
86.352322,128,7.357177,0.6783112495934481,0.3299236818766001,0.052579713985323906,0.0079908483473684,0.2628288260962172,0.024988179287938457
88.934097,128,11.768811,0.5889541597336918,0.3332247144529017,0.043495841324329376,0.008210113053823213,0.18710778030501823,0.016915710597619343
82.909282,128,16.186626,0.5723776803364218,0.3535977579368094,0.0473410664126277,0.006595876029011576,0.14001259257673707,0.02483038738123597
87.424177,128,20.628055,0.5948634720980213,0.35002839923860435,0.05611588526517153,0.006799133820919456,0.15117256040761515,0.03074749336571076
87.446802,128,25.068904,0.6171542990114164,0.33024534002111194,0.05418574810028076,0.006791892115732393,0.20694932989950765,0.0189819888747836
84.075429,128,29.518892,0.714660499367852,0.3479751615967983,0.06998314801603556,0.008997858943572369,0.2795027200977617,0.008201610713684138
80.437859,128,33.952221,0.5972876319777414,0.3436974996096289,0.04771551210433245,0.007963381177934608,0.1858178025189856,0.012093436566859819
88.722986,128,38.378881,0.6273480205056052,0.3432187976930947,0.0419474970549345,0.007495663287741952,0.2154072094451267,0.0192788530247074
84.772692,128,42.813799,0.6478008883599706,0.36040237543792475,0.07475293800234795,0.007665456332677,0.18181701409238488,0.023163104494636048
82.356773,128,47.236993,0.5794357125375229,0.35258314951606295,0.05764690041542053,0.007016752483551972,0.13488873671517793,0.027300173407309548
84.598144,128,51.640453,0.7422067424454178,0.33601953429811865,0.0672655701637268,0.008858746996431247,0.31524596901358065,0.014816921973560462
78.645076,128,56.078917,0.681431775578124,0.3261095564219967,0.05745642352849245,0.008165828486002861,0.2747364744040862,0.01496349273754579
